Date and Time,Gage Height (ft),POSIX Stamp
05/14/2013 15:13:28,28.64,1368558808.0
05/14/2013 16:46:15,28.62,1368564375.0
05/16/2013 19:57:25,28.725,1368748645.0
05/21/2013 14:13:30,28.94,1369160010.0
05/21/2013 14:27:06,28.9,1369160826.0
05/26/2013 17:59:23,28.5,1369605563.0
06/04/2013 14:34:35,28.62,1370370875.0
06/05/2013 12:49:01,28.7,1370450941.0
06/08/2013 15:10:06,28.5,1370718606.0
06/08/2013 16:06:07,28.5,1370721967.0
06/21/2013 15:53:44,28.8,1371844424.0
06/29/2013 15:53:54,29.0,1372535634.0
07/06/2013 10:41:16,28.58,1373121676.0
07/30/2013 19:42:31,28.7,1375227751.0
08/03/2013 11:43:31,28.7,1375544611.0
08/04/2013 10:46:03,28.5,1375627563.0
08/04/2013 15:38:09,28.45,1375645089.0
08/06/2013 14:04:02,28.75,1375812242.0
08/09/2013 18:47:07,28.5,1376088427.0
08/10/2013 15:25:24,28.45,1376162724.0
08/11/2013 15:21:07,28.7,1376248867.0
08/22/2013 15:14:22,28.75,1377198862.0
09/02/2013 13:35:01,28.6,1378143301.0
09/06/2013 13:02:42,28.7,1378486962.0
09/12/2013 11:52:34,28.8,1379001154.0
09/22/2013 14:47:14,28.55,1379875634.0
09/23/2013 18:24:13,28.55,1379975053.0
10/01/2013 09:31:13,28.44,1380634273.0
10/03/2013 12:46:17,28.7,1380818777.0
10/05/2013 17:54:59,28.59,1381010099.0
10/06/2013 11:32:48,28.5,1381073568.0
10/10/2013 14:15:13,28.5,1381428913.0
10/11/2013 13:39:37,28.5,1381513177.0
10/13/2013 18:36:24,28.68,1381703784.0
10/15/2013 13:09:33,28.75,1381856973.0
10/18/2013 10:58:57,28.8,1382108337.0
10/27/2013 15:39:10,27.5,1382902750.0
11/02/2013 11:17:47,28.8,1383405467.0
11/03/2013 11:17:28,28.85,1383495448.0
11/05/2013 12:39:16,28.49,1383673156.0
11/23/2013 12:08:31,28.6,1385226511.0
01/11/2014 13:31:28,28.7,1389465088.0
